city,state,region,population,lat,long,tree_city_usa,ref_number_trees,ref_number_species,ref_effective_species,ref_percent_native,ref_most_common_species,ref_most_common_genus,elevation_m,area_km2,pct_water,pct_parkland,pct_impervious_proxy,population_density_per_km2,trees_per_km2,trees_per_1000_pop
Colorado Springs,Colorado,West,439886,38.8338816,-104.8213634,yes,25478,113,23.9301158249053,0.303177510551883,Pinus ponderosa,Pinus,1839.0,507.8354137676059,0.005395395852907129,0.03679938911164093,0.4083584755419089,866.1979611396288,50.16979775195269,57.91955188389719
Columbus,Ohio,Midwest,822553,39.9611755,-82.9987942,yes,151937,227,46.8835676734967,0.609895072723129,Fraxinus pennsylvanica,Acer,244.0,582.1651789182671,0.026805464564007144,0.059741433659117014,0.5456479374810378,1412.920301293874,260.9860663296922,184.7139333270926
Dallas,Texas,South,1257676,32.7766642,-96.7969879,yes,6218,48,14.2988529511914,0.73944236099788,Quercus virginiana,Quercus,151.0,1000.4807098300322,,,,1257.0717132703755,6.215012382453983,4.944039641370273
Denver,Colorado,West,649495,39.7392358,-104.990251,yes,284739,290,49.2544606009499,0.134989640161956,Fraxinus pennsylvanica,Acer,1603.0,401.4876133400564,,,,1617.7211411249284,709.2099246380202,438.40060354583176
Des Moines,Iowa,Midwest,207510,41.6005448,-93.6091064,yes,16875,70,27.5486925431994,0.811281966943508,Fraxinus pennsylvanica,Acer,263.0,235.04266584396535,,,,882.8609871952223,71.79547568271107,81.32138210206736
Detroit,Michigan,Midwest,688701,42.331427,-83.0457538,yes,20963,84,34.8729044195797,0.59712639590298,Populus,Quercus,196.0,370.87468927732465,,,,1856.9641442557922,56.523134649193445,30.43846313567136
Durham,North Carolina,South,245475,35.9940329,-78.898619,yes,16030,126,26.4793913976829,0.669563078940897,Lagerstroemia,Quercus,124.0,298.26711407171615,,,,823.0039062937972,53.74377275848689,65.30196557694266
Fresno,California,West,509924,36.7468422,-119.7725868,no,6980,57,21.8322792367297,0.147289407839867,Cedrus deodara,Quercus,97.0,294.796861679927,,,,1729.7470437580346,23.677321258522998,13.688314337038461
Garden Grove,California,West,175140,33.7739053,-117.9414477,no,17522,210,34.5816644014696,0.0268325487558843,Lagerstroemia indica,Lagerstroemia,30.0,46.435587208702636,,,,3771.676219207506,377.3399035797301,100.04567774351946
Grand Rapids,Michigan,Midwest,192294,42.9633599,-85.6680863,yes,84361,155,22.150555899696,0.480870017073714,Acer platanoides,Acer,202.0,117.36752499620518,,,,1638.3918806008512,718.7763395600923,438.70843604064606
Greensboro,North Carolina,South,279639,36.0726354,-79.7919754,yes,6589,335,56.4157932248966,0.722616741984076,Quercus phellos,Quercus,258.0,371.96188417718776,,,,751.7947722481994,17.714180619811206,23.562521679737088
Honolulu,Hawaii,West,347884,21.3069444,-157.8583333,yes,15440,216,43.6419846849853,0.0051432770022042,Cocos nucifera,Cocos,14.0,227.32824882050247,,,,1530.3157518038504,67.91940764120066,44.38261029538582
Houston,Texas,South,2195914,29.7604267,-95.3698028,yes,215139,198,20.987308615399,0.620439150658032,Lagerstroemia indica,Quercus,2.0,1588.647941142575,,,,1382.2533886398214,135.42270406700015,97.97241604179399
Huntington Beach,California,West,197575,33.660297,-117.9992265,yes,55828,277,48.5555379058165,0.0506695321540751,Syagrus romanzoffianum,Syagrus,15.0,162.75535571408585,,,,1213.938546803229,343.0178979675094,282.5661141338732
Indianapolis,Indiana,Midwest,843393,39.768403,-86.158068,yes,98942,147,41.8849380051336,0.73649948771772,Acer saccharum,Acer,222.0,953.4500051550062,,,,884.5697157061593,103.77261467832767,117.31422954660519
Irvine,California,West,236716,33.6839473,-117.7946942,yes,58364,123,36.5786550183066,0.122113687183712,Pinus canariensis,Eucalyptus,32.0,171.00597759834227,,,,1384.2557045344754,341.2980108630178,246.5570557123304
Jersey City,New Jersey,Northeast,257342,40.7281575,-74.0776417,no,774,31,15.4825146804905,0.804718217562254,Thuja occidentalis,Quercus,10.0,54.42364127231273,,,,4728.496550099803,14.221760652273035,3.0076707261154416
