city,state,region,population,lat,long,tree_city_usa,ref_number_trees,ref_number_species,ref_effective_species,ref_percent_native,ref_most_common_species,ref_most_common_genus
Plano,Texas,South,274409,33.0198431,-96.6988856,yes,28375,78,18.6144175354933,0.873954050785973,Ulmus crassifolia,Quercus
Portland,Oregon,West,609456,45.5230622,-122.6764816,yes,218602,150,39.7936556916093,0.116057233704293,Acer platanoides,Acer
Providence,Rhode Island,Northeast,177994,41.8239891,-71.4128343,yes,24525,107,23.1927200546696,0.296978909367281,Acer platanoides,Acer
Rancho Cucamonga,California,West,171386,34.1063989,-117.5931084,no,82947,187,29.9305589024467,0.0160121109784855,Lagerstroemia indica,Lagerstroemia
Richmond,Virginia,South,214114,37.5407246,-77.4360481,yes,3272,78,27.1837240756162,0.648725212464589,Acer saccharum,Acer
Rochester,New York,Northeast,210358,43.16103,-77.6109219,yes,64056,163,38.3301467475199,0.406122801391322,Gleditsia triacanthos,Acer
Sacramento,California,West,479686,38.5815719,-121.4943996,yes,87191,99,33.91559593678,0.166091832973514,Platanus acerifolia,Platanus
San Diego,California,West,1355896,32.715738,-117.1610838,yes,212304,121,35.2938931900293,0.0982413865010774,Syagrus romanzoffianum,Syagrus
San Francisco,California,West,837442,37.7749295,-122.4194155,yes,188462,404,63.2367175927233,0.0283141134151502,Platanus acerifolia,Prunus
San Jose,California,West,998537,37.3382082,-121.8863286,yes,347669,424,54.3756666716505,0.069293925801821,Platanus acerifolia,Platanus
Santa Rosa,California,West,171990,38.440429,-122.7140548,no,3016,16,6.50091518199752,0.659090909090909,Quercus,Quercus
Seattle,Washington,West,652405,47.6062095,-122.3320708,yes,165623,399,93.3012708231648,0.0755488312740221,Prunus cerasifera,Acer
Sioux Falls,South Dakota,Midwest,164676,43.5445959,-96.7311034,yes,63024,139,14.3929129717648,0.621795760011085,Fraxinus pennsylvanica,Fraxinus
St. Louis,Missouri,Midwest,318416,38.6270025,-90.1994042,yes,83594,204,29.5704679033734,0.67817785750897,Acer rubrum,Acer
Stockton,California,West,298118,37.9577016,-121.2907796,no,98300,252,38.7977284148009,0.131053170079041,Pistacia chinensis,Pistacia
Tampa,Florida,South,352957,27.950575,-82.4571776,yes,25501,178,19.9220523040392,0.725698185133007,Quercus virginiana,Quercus
Washington (DC),District of Columbia,South,646449,38.9071923,-77.0368707,yes,190991,138,49.7534959186669,0.560706173859178,Acer rubrum,Quercus
Worcester,Massachusetts,Northeast,182544,42.2625932,-71.8022934,yes,17454,87,5.85847113414328,0.281233315536572,Acer platanoides,Acer
